Timestamp,Current Price,Pre-market Price,Post-market Price,Last Update
2025-04-10 10:51:29,1485.019,N/A,N/A,2025-04-10 10:50:00
2025-04-10 11:06:55,1495.071,N/A,N/A,2025-04-10 11:05:00
